title,view_count,tags,duration,duration_string,channel,channel_url,channel_follower_count
ROSÉ & Bruno Mars - APT. (Official Music Video),2009014557,YG Entertainment;YG;와이지;K-pop;BLACKPINK;블랙핑크;블핑;로제;Rosé;BLINK;블링크;bruno mars;APT.;apt;apartment game;meet me at the;meet me at the apt;bruno mars rose apt;rose;rosesarerosie;rose apt;rose apt music video;rose apt video;rose bruno mars;rose bruno mars kiss;rose kiss,173,2:53,ROSÉ,https://www.youtube.com/channel/UCBo1hnzxV9rz3WVsv__Rn1g,19200000
"Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)",1324833300,Lady Gaga;Bruno Mars;Interscope;Pop,252,4:12,Lady Gaga,https://www.youtube.com/channel/UC07Kxew-cMIaykMOkzqHtBQ,29600000
Reneé Rapp - Leave Me Alone (Official Music Video),2536628,Reneé Rapp;Interscope Records;Pop,160,2:40,Reneé Rapp,https://www.youtube.com/channel/UCZy4ki_L4bzw9LdJ1TgQy6Q,408000
Billie Eilish - BIRDS OF A FEATHER (Official Music Video),558329099,Billie Eilish;Darkroom/Interscope Records;Alternative,231,3:51,Billie Eilish,https://www.youtube.com/channel/UCDGmojLIoWpXok597xYo8cg,56800000
Reneé Rapp - Mad (Official Music Video),2113548,Reneé Rapp;Interscope Records;Pop,180,3:00,Reneé Rapp,https://www.youtube.com/channel/UCZy4ki_L4bzw9LdJ1TgQy6Q,408000
Sabrina Carpenter - Espresso,472570966,Sabrina Carpenter;Island Records;Pop,201,3:21,Sabrina Carpenter,https://www.youtube.com/channel/UC4mYKePIas5YgGfYZ2J2OxQ,12300000
Lady Gaga - Abracadabra (Official Music Video),191073418,Lady Gaga;Interscope Records;Pop;lady gaga abracadabra;lady gaga abracadabra lg7;lady gaga abracadabra tradução;lady gaga abracadabra traducao;lady gaga brasil;lady gaga copacabana;abracadabra musica;abracadabra música;lady gaga abracadabra legendado;レディー・ガガ;레이디 가가;女神卡卡;嘎嘎小姐;abracadabra;2025;mayhem,269,4:29,Lady Gaga,https://www.youtube.com/channel/UC07Kxew-cMIaykMOkzqHtBQ,29600000
Ed Sheeran - Sapphire (Official Music Video),184696317,edsheeran;ed sheeran;acoustic;live;cover;official;remix;official video;lyrics;session;ed sheeran sapphire;ed sheeran india;sapphire;ed sheeran music video;ed sheeran video;ed sheeran play;ed sheeran sapphire lyrics;sapphire lyrics;sapphire music video;ed sheeran sapphire india;sapphire india;sapphire official music video;sapphire ed sheeran;ed sheeran official video;sapphire play;official music video;sapphire lyrics ed sheeran;arijit singh,183,3:03,Ed Sheeran,https://www.youtube.com/channel/UC0C-w0YjGpqDXGB8IHb662A,58500000
yung kai - blue (official music video),187281056,yung kai;blue;tiktok viral;tik tok;wave to earth;keshi;beabadoobee;laufey;mxmtoon;w2e;kpop;yung kai blue;blue yung kai;kai blue;blue kai;wild flower;wildflower;yung kai wildflower;wildflower yung kai;blue official music video;blue music vide;blue audio;blue official audio;blue lyrics,221,3:41,yung kai,https://www.youtube.com/channel/UCy1FLad-XXw7QZGNuNIuMow,1220000
Billie Eilish - WILDFLOWER (BILLIE BY FINNEAS),40408980,Billie Eilish;Darkroom/Interscope Records;Alternative,261,4:21,Billie Eilish,https://www.youtube.com/channel/UCDGmojLIoWpXok597xYo8cg,56800000
Zillionaire Doe - How It's Going (Official Video),1198540,,152,2:32,Zillionaire Doe ,https://www.youtube.com/channel/UCbVdo2e1hDYR95X53ttMbTg,142000
Alex Warren - Ordinary (Official Video),147871443,,187,3:07,Alex Warren,https://www.youtube.com/channel/UCX2Pm1JoWF3chsVOR9e1hbQ,4050000
Kendrick Lamar - luther (Official Audio),142084039,,178,2:58,Kendrick Lamar,https://www.youtube.com/channel/UC3lBXcrKFnFAFkfVk5WuKcQ,19700000
Shaboozey - A Bar Song (Tipsy) [Official Visualizer],288277902,Shaboozey;Bar;Song;(Tipsy);[Official;Visualizer];American;Dogwood;EMPIRE;Country;Bar Song;Bar Song (Tipsy);Tipsy;Shaboozey Bar Song;Shaboozey Tipsy;Shaboozey 2024;Shaboozey new song;Shaboozey Bar Song (Tipsy) lyrics;Shaboozey Tipsy lyrics;Shaboozey Bar Song lyrics;Shaboozey music;Shaboozey music video;Bar Song (Tipsy) song;Bar Song song;Tipsy song;Bar Song (Tipsy) songs;Bar Song songs;Tipsy songs;Shaboozey video,173,2:53,Shaboozey,https://www.youtube.com/channel/UCmdsVknXGS2145yy8eQvplw,955000
Kendrick Lamar - Not Like Us,397228595,"Kendrick Lamar;Kendrick Lamar, under exclusive license to Interscope Records;Hip Hop",354,5:54,Kendrick Lamar,https://www.youtube.com/channel/UCoYfzC2zMlc9M-Odgaf6OSg,19700000
