endTime,artistName,trackName,msPlayed
2024-10-04 15:59,fromis_9,Supersonic,7180
2024-10-07 19:31,Ariana Grande,intro (end of the world),73625
2024-10-07 19:36,Nirvana,Smells Like Teen Spirit,301920
2024-10-07 19:40,Beyoncé,TEXAS HOLD 'EM,233456
2024-10-07 19:44,NCT U,Universe (Let's Play Ball),231465
2024-10-07 19:47,Nelly,Hot In Herre,228240
2024-10-07 21:21,DMX,Party Up,124303
2024-10-07 21:24,DJ Snake,Turn Down for What,195818
2024-10-07 21:24,DMX,Party Up,2389
2024-10-07 21:27,Aerosmith,Walk This Way,140800
2024-10-07 21:28,Gwen Stefani,Hollaback Girl,86954
2024-10-07 21:33,Guns N' Roses,Welcome To The Jungle,273480
2024-10-07 21:39,Kid Cudi,Pursuit Of Happiness - Extended Steve Aoki Remix,373626
2024-10-07 23:22,Lil Jon & The East Side Boyz,Get Low,283850
2024-10-07 23:25,Katy Perry,The One That Got Away,831
2024-10-07 23:25,One Direction,Story of My Life,188821
2024-10-07 23:28,Donny Osmond,I'll Make a Man Out of You,201680
2024-10-07 23:31,Olivia Rodrigo,"All I Want - From ""High School Musical: The Musical: The Series""",177322
2024-10-07 23:35,Paramore,Still into You,216013
2024-10-07 23:35,Britney Spears,Toxic,11233
2024-10-07 23:40,Queen,Somebody To Love - Remastered 2011,296493
2024-10-07 23:45,Lady Gaga,Bad Romance,294573
2024-10-08 00:04,Kesha,TiK ToK,1855
2024-10-08 00:04,Jonas Brothers,Burnin' Up,2154
2024-10-08 00:04,Little Mix,Black Magic,1066
2024-10-08 00:04,Taylor Swift,You Belong With Me (Taylor’s Version),52422
2024-10-08 00:04,Kristen Bell,"Love Is an Open Door - From ""Frozen""/Soundtrack Version",1280
2024-10-08 00:04,Meghan Trainor,Made You Look,405
2024-10-08 00:05,Bruno Mars,That's What I Like,62485
2024-10-08 00:07,Sabrina Carpenter,Please Please Please,148117
2024-10-08 00:11,Sarah Geronimo,"Maybe This Time - From ""Maybe This Time""",232789
2024-10-08 00:13,Demi Lovato,Heart Attack,80874
2024-10-08 00:17,Lady Gaga,Die With A Smile,251667
2024-10-08 00:17,Travie McCoy,Billionaire (feat. Bruno Mars),43101
2024-10-08 01:08,High School Musical Cast,Can I Have This Dance,35797
2024-10-08 01:12,NewJeans,OMG,212253
2024-10-08 01:13,NAYEON,ABCD,48894
2024-10-08 01:15,DAY6,Shoot Me,2538
2024-10-08 01:15,ENHYPEN,Given-Taken,1791
2024-10-08 01:15,CHUNG HA,Gotta Go,938
2024-10-08 01:15,TOMORROW X TOGETHER,Happy Fools (feat. Coi Leray),2026
2024-10-08 01:15,TOMORROW X TOGETHER,9 and Three Quarters (Run Away),533
2024-10-08 01:15,ATEEZ,Guerrilla,1386
2024-10-08 01:15,XG,SHOOTING STAR,148864
2024-10-08 01:16,LE SSERAFIM,UNFORGIVEN (feat. Nile Rodgers),70591
2024-10-08 01:16,TOMORROW X TOGETHER,LO$ER=LO♡ER,1045
2024-10-08 01:17,NMIXX,Love Me Like This,4202
2024-10-08 01:20,WayV,Phantom,227826
2024-10-08 03:45,LE SSERAFIM,"Eve, Psyche & The Bluebeard’s wife",185538
2024-10-08 03:48,Stray Kids,MANIAC,182757
2024-10-08 03:52,TWICE,FANCY,213880
2024-10-08 03:55,WayV-TEN&YANGYANG,Low Low,177025
2024-10-08 03:58,Red Velvet,Power Up,202040
2024-10-08 14:53,IZ*ONE,Secret Story of the Swan,82149
2024-10-08 14:54,IZ*ONE,Secret Story of the Swan,107
2024-10-08 14:57,NAYEON,POP!,168106
2024-10-08 15:00,TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),157261
2024-10-08 15:03,SEVENTEEN,Oh My!,195003
2024-10-08 15:07,SHINee,Don't Call Me,220173
2024-10-08 15:08,CHUNG HA,Bicycle,69230
2024-10-08 15:08,EXO,Monster,1557
2024-10-08 15:11,Agust D,Daechwita,896
2024-10-08 15:11,fromis_9,Supersonic,1088
2024-10-08 15:11,Kep1er,Up!,176085
2024-10-08 15:11,GOT7,Just Right,1450
2024-10-08 15:11,GOT the beat,Stamp On It,1322
2024-10-08 15:14,SEVENTEEN,HIT,203506
2024-10-08 15:15,ZICO,New thing (Prod. ZICO) (Feat. Homies),106
2024-10-08 15:15,STAYC,STEREOTYPE,1450
2024-10-08 15:15,BTS,Run BTS,5396
2024-10-08 15:19,IZ*ONE,La Vie en Rose,218993
2024-10-08 15:22,LE SSERAFIM,No Celestial,981
2024-10-08 15:22,NCT DREAM,Beatbox,728
2024-10-08 15:22,P1Harmony,Fall In Love Again,1023
2024-10-08 15:22,SEVENTEEN,Darl+ing,1023
2024-10-08 15:22,SEVENTEEN,Super,197032
2024-10-08 15:22,CLC,HELICOPTER,405
2024-10-08 15:25,HOSHI,Spider,874
2024-10-08 15:25,KISS OF LIFE,Shhh,158378
2024-10-08 15:25,ZEROBASEONE,New Kidz on the Block,1173
2024-10-08 15:28,NCT DREAM,BOOM,195080
2024-10-08 15:30,ZEROBASEONE,SWEAT,79699
2024-10-08 15:30,Red Velvet,Red Flavor,3008
2024-10-08 15:31,ENHYPEN,Tamed-Dashed,874
2024-10-08 15:31,TOMORROW X TOGETHER,0X1=LOVESONG (I Know I Love You) feat. Seori,1493
2024-10-08 15:31,NCT DREAM,Glitch Mode,1280
2024-10-08 15:31,TEN,Paint Me Naked,895
2024-10-08 15:31,ITZY,LOCO,47616
2024-10-08 15:31,NewJeans,Hype Boy,1450
2024-10-08 15:31,BSS,Fighting (Feat. Lee Young Ji),1322
2024-10-08 15:34,NCT 127,Walk,191826
2024-10-08 15:37,ATEEZ,WORK,172381
2024-10-08 16:33,fromis_9,Supersonic,5510
2024-10-08 16:36,BAEKHYUN,Woo,192240
2024-10-08 17:59,YUGYEOM,When U Fall,186820
2024-10-08 20:13,YUGYEOM,When U Fall,36862
